Date,Price,Futures_Price,Basis,F_theoretical,Mispricing,Gross_Arb_Profit,Cost_of_Carry,Net_Arb_Profit,Arb_Opportunity,Spot_Return_1d,Fut_Return_1d,Spot_Vol_5d,Month,Lagged_Basis_5d,Predicted,Correct
2024-06-28,2.42,2.6010000705718994,0.18100007057189949,2.4321303004797503,0.1688697700921491,0.18100007057189949,0.014116666666666665,0.16688340390523282,1,-0.050980392156862675,-0.03128486927291474,0.08288546314078121,6,0.1910000076293949,1,1
2024-07-01,2.21,2.4779999256134033,0.26799992561340336,2.221077671099276,0.2569222545141274,0.26799992561340336,0.012891666666666666,0.25510825894673667,1,-0.08677685950413216,-0.04728955848565253,0.15336231610164794,7,0.17420003700256387,1,1
2024-07-02,2.06,2.434999942779541,0.37499994277954096,2.0703257929703662,0.3646741498091748,0.37499994277954096,0.012016666666666665,0.3629832761128743,1,-0.0678733031674208,-0.017352697386872618,0.19867058161706208,7,0.18160000038147012,1,1
2024-07-03,2.02,2.4179999828338623,0.3979999828338623,2.03012529213599,0.3878746906978723,0.3979999828338623,0.011783333333333331,0.386216649500529,1,-0.01941747572815533,-0.0069815032218331075,0.22884492565941167,7,0.22739998054504432,1,1
2024-07-05,2.02,2.319000005722046,0.2990000057220459,2.03012529213599,0.2888747135860559,0.2990000057220459,0.011783333333333331,0.28721667238871257,1,0.0,-0.04094291886461876,0.1719883717001287,7,0.2713999729156498,1,1
2024-07-08,2.1,2.365999937057495,0.26599993705749503,2.110526293804742,0.2554736432527531,0.26599993705749503,0.012249999999999999,0.25374993705749505,1,0.03960396039603964,0.020267326959671594,0.07886697661291205,7,0.3041999855041507,1,1
2024-07-09,2.42,2.3440001010894775,-0.07599989891052239,2.4321303004797503,-0.08813019939027278,-0.07599989891052239,0.014116666666666665,-0.09011656557718906,0,0.15238095238095228,-0.009298324832323512,0.16876018487801453,7,0.32119995880126984,1,0
2024-07-10,2.4,2.3289999961853027,-0.07100000381469718,2.412030050062562,-0.08303005387725948,-0.07100000381469718,0.013999999999999999,-0.08500000381469718,0,-0.008264462809917328,-0.0063993618844994105,0.20179197209022384,7,0.2523999938964847,1,0
2024-07-11,2.23,2.2679998874664307,0.03799988746643068,2.241177921516464,0.026821965949966664,0.03799988746643068,0.013008333333333332,0.024991554133097352,0,-0.0708333333333333,-0.026191545220603185,0.1774260409299089,7,0.1632000045776371,1,0
2024-07-12,2.17,2.3289999961853027,0.1589999961853028,2.1808771702649,0.1481228259204026,0.1589999961853028,0.012658333333333332,0.14634166285196948,1,-0.026905829596412634,0.026895992833145588,0.14117365193286513,7,0.09119998550415076,0,0
2024-07-15,2.12,2.1579999923706055,0.03799999237060536,2.13062654422193,0.027373448148675372,0.03799999237060536,0.012366666666666666,0.025633325703938697,0,-0.02304147465437778,-0.07342207131592104,0.13553597308486687,7,0.06319998359680215,0,1
2024-07-16,2.1,2.187999963760376,0.08799996376037589,2.110526293804742,0.07747366995563398,0.08799996376037589,0.012249999999999999,0.07574996376037589,0,-0.009433962264150941,0.013901747681108523,0.12054044964268927,7,0.01759999465942421,0,1
2024-07-17,1.98,2.0350000858306885,0.055000085830688494,1.9899247913016138,0.04507529452907466,0.055000085830688494,0.01155,0.0434500858306885,0,-0.05714285714285716,-0.06992681922477562,0.09300537618902292,7,0.050399967193603866,0,1
2024-07-18,2.0,2.125,0.125,2.010025041718802,0.11497495828119808,0.125,0.011666666666666665,0.11333333333333334,1,0.010101010101010166,0.04422600018347089,0.0811171991630728,7,0.075599985122681,0,0
2024-07-19,1.88,2.128000020980835,0.24800002098083507,1.8894235392156737,0.23857648176516122,0.24800002098083507,0.010966666666666664,0.23703335431416842,1,-0.06000000000000005,0.0014117745792163738,0.0973652915574208,7,0.09300000762939487,0,0
2024-07-22,2.19,2.250999927520752,0.060999927520752006,2.2009774206820882,0.050022506838663716,0.060999927520752006,0.012774999999999998,0.04822492752075201,0,0.1648936170212767,0.057800707390606165,0.11874342087063844,7,0.11080001258850132,0,1
2024-07-23,2.13,2.187000036239624,0.05700003623962413,2.140676669430524,0.0463233668091001,0.05700003623962413,0.012424999999999999,0.04457503623962413,0,-0.0273972602739726,-0.028431760702727904,0.12381437719449857,7,0.11539999961853065,0,1
2024-07-24,2.0,2.117000102996826,0.11700010299682617,2.010025041718802,0.10697506127802425,0.11700010299682617,0.011666666666666665,0.10533343633015951,1,-0.06103286384976525,-0.0320072849030022,0.12186057606979205,7,0.1092000141143803,1,1
2024-07-25,2.0,2.0409998893737793,0.0409998893737793,2.010025041718802,0.030974847654977378,0.0409998893737793,0.011666666666666665,0.02933322270711263,0,0.0,-0.03589995745180219,0.12186057606979205,7,0.12160001754760782,0,1
2024-07-26,1.98,2.00600004196167,0.02600004196166994,1.9899247913016138,0.016075250660056106,0.02600004196166994,0.01155,0.01445004196166994,0,-0.010000000000000009,-0.017148382807040785,0.09407443861146121,7,0.10479999542236369,0,1
2024-07-29,1.9,1.906999945640564,0.006999945640564054,1.9095237896328616,-0.0025238439922976585,0.006999945640564054,0.011083333333333332,-0.0040833876927692785,0,-0.04040404040404044,-0.04935199115165201,0.0825832912886228,7,0.06039999961853067,0,1
2024-07-30,1.81,2.125999927520752,0.3159999275207519,1.8190726627555158,0.30692726476523613,0.3159999275207519,0.010558333333333333,0.30544159418741856,1,-0.047368421052631504,0.11484005669786512,0.08258329128862227,7,0.04960000324249307,0,0
2024-07-31,1.94,2.0360000133514404,0.09600001335144048,1.9497242904672378,0.0862757228842026,0.09600001335144048,0.011316666666666666,0.08468334668477381,0,0.07182320441988943,-0.04233298082670467,0.07536577472607457,7,0.10139998149871862,0,1
2024-08-01,1.95,1.968000054359436,0.01800005435943608,1.9597744156758319,0.008225638683604153,0.01800005435943608,0.011374999999999998,0.006625054359436082,0,0.005154639175257714,-0.03339880085760427,0.065802735505915,8,0.09719996356964149,0,1
2024-08-02,1.89,1.9670000076293945,0.07700000762939463,1.8994736644242678,0.06752634320512674,0.07700000762939463,0.011024999999999998,0.06597500762939464,0,-0.03076923076923077,-0.0005081538122045925,0.055407580709334235,8,0.09259999656677284,0,1
2024-08-05,1.83,1.9420000314712524,0.11200003147125237,1.839172913172704,0.10282711829854851,0.11200003147125237,0.010674999999999999,0.10132503147125237,1,-0.03174603174603163,-0.012709698048385731,0.06308724118283637,8,0.10279998970031778,0,0
2024-08-06,1.83,2.009999990463257,0.17999999046325676,1.839172913172704,0.1708270772905529,0.17999999046325676,0.010674999999999999,0.16932499046325677,1,0.0,0.035015426307942965,0.05761944116408429,8,0.12380000686645545,1,1
2024-08-07,1.96,2.111999988555908,0.15199998855590824,1.969824540884426,0.14217544767148227,0.15199998855590824,0.011433333333333332,0.14056665522257492,1,0.07103825136612008,0.050746267948559964,0.06260990337048426,8,0.09660001945495642,0,0
